Announcement Date,Parent Company,Company,Facility Name,Phase,City,State,Manufacturing Focus,Component Category,EV/Battery Production,Announcement Effective Year,Existing Union?,Announced EV Investment,Announced EV Jobs,Congressional District,30D Eligible (Defunct),Federal Funding Received,Federal Program,Source,Address,latitude,longitude
2/3/26,Volkswagen Group,Scout Motors,Blythewood Facility,Update,Columbia,SC,Light-Duty (Class 1-2),Vehicle Assembly,Under Construction,2027,No Evidence,"$700,000,000",NA,SC02,No Evidence,$0,None,https://insideevs.com/news/786286/scout-factory-budget-50-percent/,"Blythewood Facility, Columbia, SC",34.215166,-80.973608
1/28/26,DuPont,DDP Specialty Electronic Materials US,DDP Midland Factory,Original,Midland,MI,Batteries,Battery Enclosures,Planned,NA,No Evidence,"$20,000,000",22,MI08,No Evidence,$0,None,https://www.michiganbusiness.org/press-releases/2026/01/100-new-jobs-44-million-investment-across-midland-st-clair-counties/,"DDP Midland Factory, Midland, MI",43.623616,-84.225536
1/8/26,GreenPower Motors,GreenPower Motors,Santa Teresa Facility,Original,Santa Teresa,NM,Medium-Duty (Class 3-6),Vehicle Assembly,Planned,2026,No Evidence,NA,340,NA,No Evidence,$0,None,https://greenpowermotor.com/greenpower-chooses-new-mexico-advanced-ev-manufacturing-facility/,"Santa Teresa Facility, Santa Teresa, NM",31.851066,-106.63205
12/28/25,Honda Motor Company,Honda,Fayette County EV Battery Plant,Update,Jeffersonville,OH,Batteries,Modules,Under Construction,2026,No Evidence,NA,NA,OH15,No Evidence,$0,None,https://ackodrive.com/news/honda-acquires-ohio-ev-battery-plant-from-lg-energy-solution-for-2-9-billion-1/,"Fayette County EV Battery Plant, Jeffersonville, OH",39.653851,-83.563227
12/17/25,Westwin Elements,Westwin Elements,Lawton Refinery,Update,Lawton,OK,Minerals,Nickel; Cobalt,Canceled,2025,No Evidence,NA,NA,OK04,No Evidence,$0,None,https://www.kswo.com/2025/12/17/westwin-elements-elects-not-move-forward-with-large-scale-lawton-facility/,"Lawton Refinery, Lawton, OK",34.606431,-98.3969283
12/15/25,Ford Motor Company,Ford,BlueOval Tennessee Truck Plant,Update,Stanton,TN,Light-Duty (Class 1-2),Vehicle Assembly,Canceled,2026,No Evidence,"($2,800,000,000)",-2900,TN08,Good Evidence,NA,Loan Programs Office (LPO),https://www.bizjournals.com/memphis/news/2025/12/15/ford-announces-major-shifts-blueoval-city.html,"BlueOval Tennessee Truck Plant, Stanton, TN",35.464095,-89.402431000000007
12/15/25,Ford Motor Company,Ford,Ford Ohio Assembly Plant,Update,Sheffield,OH,Medium-Duty (Class 3-6),Vehicle Assembly,Canceled,2025,Good Evidence,"($1,500,000,000)",-1800,OH05,No Evidence,$0,None,https://www.detroitnews.com/story/business/autos/ford/2025/12/15/ford-model-e-q4-charge-ev-2029-profitable-f-150-lightning-erev-skon-blueoval/87778986007/,"Ford Ohio Assembly Plant, Sheffield, OH",41.487954,-82.075419
12/12/25,Anthro Energy,Anthro Energy,Anthro LIB Electrolyte Plant,Update,NA,KY,Batteries,Electrolytes and Electrolyte Inputs,Planned,2027,No Evidence,"($28,000,000)",-5,NA,No Evidence,NA,Advanced Energy Manufacturing and Recycling Program; Qualifying Advanced Energy Project Credit (48C)`,https://louisvilleky.gov/news/mayor-greenberg-announces-anthro-energy-invest-42-million-new-manufacturing-facility,"Anthro LIB Electrolyte Plant, NA, KY",22.83333,105.91667
12/9/25,Faraday Future,Faraday Future,FF ieFactory California,Update,Hanford,CA,Light-Duty (Class 1-2),Vehicle Assembly,Operational,2025,No Evidence,"$286,000,000",NA,CA22,No Evidence,$0,None,https://investors.ff.com/news-releases/news-release-details/faraday-future-begins-production-first-fx-super-one-pre,"FF ieFactory California, Hanford, CA",36.327726,-119.645914
12/2/25,Bollinger Innovations,Bollinger Motors,Oak Park Factory,Update,Oak Park,MI,Multiple Classes,Vehicle Assembly,Canceled,2025,No Evidence,"($22,000,000)",-237,MI11,No Evidence,NA,None,https://www.freightwaves.com/news/bollinger-motors-shuts-down-amid-financial-woes,"Oak Park Factory, Oak Park, MI",42.459791,-83.18197
11/24/25,Anthro Energy,Anthro Energy,Alameda Battery Facility,Original,Alameda,CA,Batteries,Cells; Electrolytes,Planned,2026,No Evidence,"$5,500,000",NA,CA12,No Evidence,$0,None,https://www.prweb.com/releases/california-energy-commission-awards-anthro-energy-5-5-million-powerforward-grant-to-establish-advanced-electrolyte-and-battery-cell-production-in-california-302623812.html,"Alameda Battery Facility, Alameda, CA",3.4378189,-76.535714
11/12/25,Aptera Motors,Aptera,Aptera San Diego Manufacturing Facility,Update,Carlsbad,CA,Light-Duty (Class 1-2),Vehicle Assembly,Operational,2026,No Evidence,"$65,000,000",NA,CA49,No Evidence,$0,None,https://www.electrive.com/2025/11/12/aptera-begins-validation-line-for-solar-electric-vehicle-production/,"Aptera San Diego Manufacturing Facility, Carlsbad, CA",33.1660368,-117.3379272
11/12/25,Israel Corporation,ICL Group,LFP Cathode Powder Factory,Update,St Louis,MO,Minerals,Cathode Materials,Canceled,2025,No Evidence,"($574,000,000)",-150,MO01,No Evidence,NA,Battery Materials Processing and Battery Manufacturing Recycling Grants,https://www.stlmag.com/business/icl-cancels-massive-north-st-louise-manufacturing-plant/,"LFP Cathode Powder Factory, St Louis, MO",38.635355,-90.2009855
11/4/25,ElringKlinger,ElringKlinger,ElringKlinger Pickens Manufacturing Facility,Expansion 1,NA,SC,Batteries,Battery Pack Components,Planned,2027,No Evidence,"$68,500,000",294,SC03,No Evidence,$0,None,"https://www.sedc.org/news/elringklinger-expands-pickens-county-operations#:~:text=By%20investing%20%2468.5%20million%20to,County%20on%20this%20great%20accomplishment.%E2%80%9D","ElringKlinger Pickens Manufacturing Facility, NA, SC",-4.678652264,55.467262116
10/31/25,Freudenberg,Xalt Energy,Xalt Energy Battery Park,Update,Midland,MI,Batteries,Modules; Packs,Canceled,2025,No Evidence,"($600,000,000)",-550,MI08,No Evidence,$0,None,https://www.abc12.com/news/business/xalt-energy-closing-battery-plants-in-midland-and-auburn-hills/article_0836059c-f864-4af2-9c08-255e03595b8b.html,"Xalt Energy Battery Park, Midland, MI",43.606893,-84.210604
10/30/25,BorgWarner,BorgWarner,Seneca Battery Plant,Update,Seneca,SC,Batteries,Modules,Planned,2027,No Evidence,NA,NA,SC03,No Evidence,NA,None,https://www.borgwarner.com/newsroom/press-releases/2025/10/30/borgwarner-battery-system-to-power-holon-s-autonomous-shuttle,"Seneca Battery Plant, Seneca, SC",43.29913,-94.38414
10/29/25,Benteler,HOLON,Holon Autonomous Vehicle Assembly Plant,Update,NA,FL,Light-Duty (Class 1-2),Vehicle Assembly,Planned,2027,No Evidence,"$100,000,000",NA,NA,No Evidence,$0,None,https://www.news4jax.com/news/local/2025/10/29/its-official-autonomous-vehicle-manufacturer-signs-partnership-to-bring-its-first-us-production-plant-to-jacksonville/,"Holon Autonomous Vehicle Assembly Plant, NA, FL",26.1241631,-80.1435862
10/29/25,General Motors,General Motors,Factory ZERO Detroit-Hamtramck Assembly Center,Update,Detroit,MI,Light-Duty (Class 1-2),Vehicle Assembly,Operational,2025,Good Evidence,NA,-1200,MI13,No Evidence,$0,None,https://www.cnbc.com/2025/10/29/gm-layoffs-michigan-ohio.html,"Factory ZERO Detroit-Hamtramck Assembly Center, Detroit, MI",42.378363,-83.04687
10/29/25,General Motors,General Motors,Ultium Cells Warren (JV),Update,Lordstown,OH,Batteries,Cells,Operational,2025,Good Evidence,NA,-275,OH14,No Evidence,NA,Loan Programs Office (LPO),https://www.cnbc.com/2025/10/29/gm-layoffs-michigan-ohio.html,"Ultium Cells Warren (JV), Lordstown, OH",41.152153,-80.863677
10/29/25,LG Corporation,LG Energy Solution,Ultium Cells Warren (JV),Update,Lordstown,OH,Batteries,Cells,Operational,2025,Good Evidence,NA,-275,OH14,No Evidence,NA,Loan Programs Office (LPO),https://www.cnbc.com/2025/10/29/gm-layoffs-michigan-ohio.html,"Ultium Cells Warren (JV), Lordstown, OH",41.152153,-80.863677
10/24/25,Guoxuan High Tech,Gotion,Big Rapids Battery Factory,Update,Big Rapids,MI,Batteries,Cathodes; Anodes,Canceled,2025,No Evidence,"($2,360,000,000)",-2350,MI02,No Evidence,$0,None,https://www.reuters.com/world/us/chinese-battery-company-abandons-plan-build-michigan-plant-state-says-2025-10-23/,"Big Rapids Battery Factory, Big Rapids, MI",43.70752,-85.462753
10/23/25,Tesla,Tesla,Gigafactory Nevada,Update,Sparks,NV,Heavy-Duty (Class 7-8),Vehicle Assembly,Operational,2026,No Evidence,NA,NA,NV02,No Evidence,NA,None,https://electrek.co/2025/10/23/tesla-semi-electric-truck-production-delayed/,"Gigafactory Nevada, Sparks, NV",39.540664,-119.439341
10/22/25,Cummins,Accelera,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2028,No Evidence,NA,NA,NA,No Evidence,$0,None,https://www.electrive.com/2025/10/22/us-cell-production-by-truck-alliance-delayed-til-2028/,"Amplify Battery Manufacturing Facility (JV), Byhalia, MS",34.868098,-89.688647
10/22/25,Daimler Truck,Daimler Truck,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2028,No Evidence,NA,NA,NA,No Evidence,$0,None,https://www.electrive.com/2025/10/22/us-cell-production-by-truck-alliance-delayed-til-2028/,"Amplify Battery Manufacturing Facility (JV), Byhalia, MS",34.868098,-89.688647
10/22/25,EVE Energy,EVE Energy,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2028,No Evidence,NA,NA,NA,No Evidence,$0,None,https://www.electrive.com/2025/10/22/us-cell-production-by-truck-alliance-delayed-til-2028/,"Amplify Battery Manufacturing Facility (JV), Byhalia, MS",34.868098,-89.688647
10/22/25,Paccar,Paccar,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2028,No Evidence,NA,NA,NA,No Evidence,$0,None,https://www.electrive.com/2025/10/22/us-cell-production-by-truck-alliance-delayed-til-2028/,"Amplify Battery Manufacturing Facility (JV), Byhalia, MS",34.868098,-89.688647
10/21/25,Dana,Dana,Auburn Hills Facility,Update,Auburn Hills,MI,Parts,Power Electronics,Canceled,2025,Good Evidence,"($54,200,000)",-200,MI11,No Evidence,NA,None,https://www.cbsnews.com/detroit/news/dana-incorporated-closes-auburn-hills-facility/,"Auburn Hills Facility, Auburn Hills, MI",42.63364,-83.22271
10/17/25,Guangzhou Tinci Materials Technology,Tinci Materials,Project Lion,Original,Baytown,TX,Batteries,Electrolytes and Electrolyte Inputs,Planned,2027,No Evidence,"$51,250,000",NA,TX36,No Evidence,NA,None,https://www.tigoenergy.com/post/tigo-energy-initiates-made-in-the-usa-manufacturing-partnership-with-eg4-electronics,"Project Lion, Baytown, TX",29.732081,-94.967821
10/14/25,Stellantis,Stellantis,Warren Truck Assembly Plant,Update,Warren,MI,Light-Duty (Class 1-2),Vehicle Assembly,Planned,2028,Good Evidence,NA,NA,MI10,No Evidence,$0,None,https://www.stellantis.com/en/news/press-releases/2025/october/stellantis-to-invest-13-billion-to-grow-in-the-united-states,"Warren Truck Assembly Plant, Warren, MI",42.455747,-83.041027
10/6/25,American Li-ion,American Li-ion,McAlester Battery Recycling Plant,Original,McAlester,OK,Battery Recycling,Recycling,Planned,2026,No Evidence,"$164,000,000",275,OK02,No Evidence,$0,None,"https://www.cityofmcalester.com/tourism_news_detail_T43_R901.php#:~:text=The%20City%20of%20McAlester%20has%20an%20interim,the%20property%20will%20revert%20to%20the%20City","McAlester Battery Recycling Plant, McAlester, OK",34.933784,-95.766566
10/2/25,Dragonfly Energy,Dragonfly Energy,Dragonfly Reno Hub,Original,Reno,NV,Batteries,Cells,Operational,2025,No Evidence,NA,NA,NV02,No Evidence,$0,None,https://dragonflyenergy.com/dragonfly-energy-to-be-awarded-nevada-tech-hub-funding-to-advance-battery-manufacturing-and-workforce-development/,"Dragonfly Reno Hub, Reno, NV",39.509026019973,-119.909479086723
10/2/25,General Motors,General Motors,Toledo Propulsion Systems Factory,Update,Toledo,OH,Parts,EV Drive Units,Canceled,2025,Good Evidence,"($760,000,000)",-1520,OH09,Good Evidence,$0,None,https://www.toledoblade.com/business/automotive/2025/10/02/gm-nixes-production-of-electric-drivetrains-at-toledo-plant/stories/20251002124,"Toledo Propulsion Systems Factory, Toledo, OH",41.718818,-83.577715
10/1/25,Enchem,Enchem,Electrolyte Manufacturing Operations,Update,Brownsville,TN,Batteries,Electrolytes and Electrolyte Inputs,Canceled,2025,No Evidence,"($152,500,000)",-190,TN08,No Evidence,$0,None,https://www.actionnews5.com/2025/10/01/brownsville-plant-not-happening/,"Electrolyte Manufacturing Operations, Brownsville, TN",35.594886,-89.264004
9/30/25,Nissan,Nissan,Canton Factory,Update,Canton,MS,Light-Duty (Class 1-2),Vehicle Assembly,Canceled,2025,No Evidence,"($500,000,000)",-2000,MS02,No Evidence,NA,None,https://www.bloomberg.com/news/articles/2025-09-30/nissan-to-reboot-xterra-suv-as-a-hybrid-freezes-plans-for-us-ev,"Canton Factory, Canton, MS",32.6138758,-90.0349356
9/25/25,Henkel,Henkel,Henkel Brandon Thermal Materials Plant,Update,Brandon,SD,Parts,Power Electronics,Operational,2025,No Evidence,NA,NA,SD,No Evidence,$0,None,https://www.henkel-northamerica.com/press/press-releases-and-kits/2025-25-09-henkel-celebrates-expansion-of-flagship-manufacturing-facility-in-brandon-south-dakota-to-advance-mobility-and-electronics-innovations-2089442,"Henkel Brandon Thermal Materials Plant, Brandon, SD",43.596425,-96.572299
9/18/25,Hyundai Motor Group,Hyundai,Metaplant Manufacturing Joint Venture (JV),Expansion 2,Savannah,GA,Multiple Classes,Vehicle Assembly,Planned,2028,No Evidence,"$2,700,000,000",NA,GA01,No Evidence,$0,None,https://www.hyundai.com/worldwide/en/newsroom/detail/0000001018,"Metaplant Manufacturing Joint Venture (JV), Savannah, GA",32.0806102,-81.0900966
9/18/25,Volkswagen Group,Scout Motors,Blythewood Facility,Expansion 1,Columbia,SC,Light-Duty (Class 1-2),Vehicle Assembly,Under Construction,2027,No Evidence,"$300,000,000",1000,SC02,No Evidence,$0,None,https://www.scoutmotors.com/newsroom/scout-motors-makes-additional-usd300-million-investment-in-south-carolina-to,"Blythewood Facility, Columbia, SC",34.215166,-80.973608
9/15/25,Natrion,Natrion,Natrion Cheektowaga Facility,Original,Cheektowaga,NY,Batteries,Separators,Operational,2025,No Evidence,"$5,000,000",10,NY26,No Evidence,NA,None,https://www.bizjournals.com/buffalo/news/2025/09/15/natrion-battery-company-cheektowaga.html,"Natrion Cheektowaga Facility, Cheektowaga, NY",42.89173,-78.77475
9/10/25,Exxon Mobil,Superior Graphite,Hopkinsville Graphite Plant,Update,Hopkinsville,KY,Minerals,Graphite,Operational,2025,No Evidence,NA,72,KY01,No Evidence,$0,None,https://hoptownchronicle.org/exxonmobil-is-acquiring-superior-graphites-hopkinsville-production-plant/,"Hopkinsville Graphite Plant, Hopkinsville, KY",36.865586,-87.488906
9/8/25,Fortescue,Fortescue,U.S. Advanced Manufacturing Center,Update,Detroit,MI,Batteries,Modules,Canceled,2025,No Evidence,"($52,500,000)",-150,MI13,No Evidence,NA,None,https://www.autonews.com/manufacturing/suppliers/an-battery-plant-detroit-scrapped-0905/,"U.S. Advanced Manufacturing Center, Detroit, MI",42.56067,-83.041215
9/8/25,Fortescue,Fortescue,U.S. Advanced Manufacturing Center,Update,Detroit,MI,EV Charging,Charging Units,Canceled,2025,No Evidence,"($52,500,000)",-150,MI13,No Evidence,NA,None,https://www.autonews.com/manufacturing/suppliers/an-battery-plant-detroit-scrapped-0905/,"U.S. Advanced Manufacturing Center, Detroit, MI",42.56067,-83.041215
8/27/25,MAHLE,MAHLE,MAHLE Morristown Facility,Original,Morristown,TN,Parts,Power Electronics,Planned,NA,No Evidence,"$10,000,000",50,TN01,No Evidence,$0,None,https://tnecd.com/news/mahle-gmbh-to-expand-manufacturing-operations-in-hamblen-county/,"MAHLE Morristown Facility, Morristown, TN",36.231303044892,-83.25121483057
8/13/25,Guoxuan High Tech,Gotion,Gotion Lithium Battery Plant,Update,Manteno,IL,Batteries,Cells; Packs,Under Construction,2025,No Evidence,NA,NA,IL01,No Evidence,$0,None,https://www.chicagobusiness.com/manufacturing-logistics/gotion-start-making-ev-batteries-manteno-next-month,"Gotion Lithium Battery Plant, Manteno, IL",41.256069,-87.838735
8/11/25,Ford Motor Company,Ford,Louisville Assembly Plant,Expansion 2,Louisville,KY,Light-Duty (Class 1-2),Vehicle Assembly,Planned,2027,Good Evidence,"$2,000,000,000",2200,KY03,Good Evidence,$0,None,https://www.fromtheroad.ford.com/us/en/articles/2025/ford-affordable-electric-vehicle-platform-midsize-electric-truck?cksid=&emailid=b24t0831_em_en_mediaalert_fordmediasubs_npr_ns_ns_tp1_1_nt&fcid=eml_B24T0831_sf,"Louisville Assembly Plant, Louisville, KY",38.154537,-85.728374
8/6/25,Samsung,Samsung SDI,StarPlus Energy Gigafactory #1 (JV),Update,Kokomo,IN,Batteries,Cells,Operational,2025,No Evidence,NA,-30,IN05,No Evidence,NA,Loan Programs Office (LPO),https://www.wrtv.com/news/local-news/automaker-announces-59-job-cuts-at-kokomo-ev-battery-plant,"StarPlus Energy Gigafactory #1 (JV), Kokomo, IN",40.486508,-86.131244
8/6/25,Stellantis,Stellantis,StarPlus Energy Gigafactory #1 (JV),Update,Kokomo,IN,Batteries,Modules,Operational,2025,No Evidence,NA,-29,IN05,No Evidence,NA,Loan Programs Office (LPO),https://www.wrtv.com/news/local-news/automaker-announces-59-job-cuts-at-kokomo-ev-battery-plant,"StarPlus Energy Gigafactory #1 (JV), Kokomo, IN",40.486508,-86.131244
8/5/25,SINBON,SINBON,SINBON Clayton Facility,Original,Clayton,OH,Parts,Other Electrification Components,Planned,NA,No Evidence,"$4,250,000",100,OH10,No Evidence,$0,None,https://www.sinbon.com/news/sinbon-doubles-us-manufacturing-footprint-to-meet-growing-demand-in-industrial-robotics-automotive-and-renewable-energy-sectors-,"SINBON Clayton Facility, Clayton, OH",43.443600000000004,-97.65784
7/25/25,Freudenberg,Freudenberg Sealing Technologies,Freudenberg New Hampshire Factory,Original,Manchester,NH,Batteries,Other Electrification Components,Planned,2029,No Evidence,"$10,000,000",NA,NH01,No Evidence,NA,Qualifying Advanced Energy Project Credit (48C),https://www.fst.com/news-stories/2025/moving-from-combustion-engines-to-innovative-e-mobility-solutions/,"Freudenberg New Hampshire Factory, Manchester, NH",42.9909263,-71.4630908
7/15/25,General Motors,General Motors,Orion Factory,Update,Lake Orion,MI,Batteries,Packs; Modules,Operational,2025,Good Evidence,NA,-1205,MI09,Good Evidence,$0,None,https://www.freep.com/story/money/cars/general-motors/2025/07/15/gm-escalade-silverado-sierra-orion-assembly/84164837007/,"Orion Factory, Lake Orion, MI",42.786894388437,-83.235427318005
7/14/25,Ionic Mineral Technologies,Ionic Mineral Technologies,Ionic Manufacturing Facility and HQ,Expansion 1,Provo,UT,Minerals,Anode Materials,Planned,2026,No Evidence,"$29,000,000",NA,UT03,No Evidence,NA,None,https://utah.vc/p/ionic-mineral-technologies-b,"Ionic Manufacturing Facility and HQ, Provo, UT",40.235122,-111.66219
7/11/25,Ioneer,Ioneer,Rhyolite Ridge Lithium-Boron Project,Update,Coyote Hole,NV,Minerals,Lithium,Planned,2028,No Evidence,"$337,000,000",NA,NA,No Evidence,NA,Loan Programs Office (LPO),https://nevadacurrent.com/2025/07/11/nevada-mine-delayed-amid-lithium-price-slump/?utm_campaign=Newsletter&utm_medium=email&_hsenc=p2ANqtz-_9aryhfeVgnqei-Z-F1eVixaiZhlmkZq4Be4lwhB1NhGusj_FptPeQf9B68Jr21vMyGxAjklWjR8drgwnRqsCZ3vNZZyCwhn3nco8dbvuW7i8avRA&_hsmi=370877892&utm_content=370877892&utm_source=hs_email,"Rhyolite Ridge Lithium-Boron Project, Coyote Hole, NV",37.79715,-117.80538
7/10/25,Pure Lithium,Pure Lithium,Pure Lithium Hub,Original,NA,IL,Batteries,Packs,Operational,2025,No Evidence,"$23,000,000",25,NA,No Evidence,$0,None,https://www.illinois.gov/news/press-release.31467.html,"Pure Lithium Hub, NA, IL",34.758081,-82.751982
